timestamp,dataset,method,purity,status,elapsed_sec,elapsed_min,ave_acc,std_acc,runs,epochs,model,log_file,error
2026-05-18T09:18:51.072307,cs,pagerank,0.9,success,29.5,0.49,0.9320,0.0014,20,60,GCN,logs_v2/cs_pagerank_p0.900.log,
2026-05-18T09:19:19.269298,cs,pagerank,0.95,success,28.2,0.47,0.9316,0.0014,20,60,GCN,logs_v2/cs_pagerank_p0.950.log,
2026-05-18T09:19:48.068558,cs,pagerank,0.975,success,28.8,0.48,0.9317,0.0016,20,60,GCN,logs_v2/cs_pagerank_p0.975.log,
2026-05-18T09:20:17.417670,cs,pagerank,1.0,success,29.3,0.49,0.9314,0.0011,20,60,GCN,logs_v2/cs_pagerank_p1.000.log,
2026-05-18T09:21:04.186574,cs,eigenvector,0.7,success,46.8,0.78,0.9281,0.0011,20,60,GCN,logs_v2/cs_eigenvector_p0.700.log,
2026-05-18T09:21:50.504972,cs,eigenvector,0.8,success,46.3,0.77,0.9301,0.0012,20,60,GCN,logs_v2/cs_eigenvector_p0.800.log,
2026-05-18T09:22:33.018951,cs,eigenvector,0.9,success,42.5,0.71,0.9286,0.0016,20,60,GCN,logs_v2/cs_eigenvector_p0.900.log,
2026-05-18T09:23:15.733792,cs,eigenvector,0.95,success,42.7,0.71,0.9288,0.0019,20,60,GCN,logs_v2/cs_eigenvector_p0.950.log,
2026-05-18T09:23:58.147937,cs,eigenvector,0.975,success,42.4,0.71,0.9296,0.0017,20,60,GCN,logs_v2/cs_eigenvector_p0.975.log,
2026-05-18T09:24:41.312548,cs,eigenvector,1.0,success,43.2,0.72,0.9290,0.0018,20,60,GCN,logs_v2/cs_eigenvector_p1.000.log,
2026-05-18T09:28:04.914230,physics,degree,0.7,success,203.6,3.39,0.9567,0.0015,20,60,GCN,logs_v2/physics_degree_p0.700.log,
2026-05-18T09:31:27.213828,physics,degree,0.8,success,202.3,3.37,0.9595,0.0014,20,60,GCN,logs_v2/physics_degree_p0.800.log,
2026-05-18T09:34:48.562756,physics,degree,0.9,success,201.3,3.36,0.9620,0.0006,20,60,GCN,logs_v2/physics_degree_p0.900.log,
2026-05-18T09:38:05.706091,physics,degree,0.95,success,197.1,3.29,0.9630,0.0010,20,60,GCN,logs_v2/physics_degree_p0.950.log,
2026-05-18T09:41:25.853411,physics,degree,0.975,success,200.1,3.34,0.9628,0.0010,20,60,GCN,logs_v2/physics_degree_p0.975.log,
2026-05-18T09:44:43.297943,physics,degree,1.0,success,197.4,3.29,0.9630,0.0008,20,60,GCN,logs_v2/physics_degree_p1.000.log,
2026-05-18T09:48:06.148533,physics,degree_centrality,0.7,success,202.9,3.38,0.9566,0.0014,20,60,GCN,logs_v2/physics_degree_centrality_p0.700.log,
2026-05-18T09:51:28.698828,physics,degree_centrality,0.8,success,202.6,3.38,0.9593,0.0014,20,60,GCN,logs_v2/physics_degree_centrality_p0.800.log,
2026-05-18T09:54:50.349086,physics,degree_centrality,0.9,success,201.6,3.36,0.9622,0.0008,20,60,GCN,logs_v2/physics_degree_centrality_p0.900.log,
2026-05-18T09:58:07.290994,physics,degree_centrality,0.95,success,196.9,3.28,0.9630,0.0011,20,60,GCN,logs_v2/physics_degree_centrality_p0.950.log,
2026-05-18T10:01:25.937758,physics,degree_centrality,0.975,success,198.6,3.31,0.9632,0.0010,20,60,GCN,logs_v2/physics_degree_centrality_p0.975.log,
2026-05-18T10:04:44.583783,physics,degree_centrality,1.0,success,198.6,3.31,0.9630,0.0009,20,60,GCN,logs_v2/physics_degree_centrality_p1.000.log,
2026-05-18T10:32:04.032369,physics,closeness,0.7,success,1639.4,27.32,0.9559,0.0012,20,60,GCN,logs_v2/physics_closeness_p0.700.log,
2026-05-18T10:58:27.167059,physics,closeness,0.8,success,1583.1,26.39,0.9586,0.0015,20,60,GCN,logs_v2/physics_closeness_p0.800.log,
2026-05-18T11:25:12.825411,physics,closeness,0.9,success,1605.7,26.76,0.9622,0.0011,20,60,GCN,logs_v2/physics_closeness_p0.900.log,
2026-05-18T11:52:10.304632,physics,closeness,0.95,success,1617.5,26.96,0.9627,0.0008,20,60,GCN,logs_v2/physics_closeness_p0.950.log,
2026-05-18T12:19:02.074001,physics,closeness,0.975,success,1611.8,26.86,0.9623,0.0009,20,60,GCN,logs_v2/physics_closeness_p0.975.log,
2026-05-18T12:45:22.496482,physics,closeness,1.0,success,1580.4,26.34,0.9626,0.0011,20,60,GCN,logs_v2/physics_closeness_p1.000.log,
2026-05-18T13:45:22.637301,physics,betweenness,0.7,timeout,3600.1,60.00,,,20,60,GCN,logs_v2/physics_betweenness_p0.700.log,Exceeded 1 hour timeout
2026-05-18T14:45:22.802918,physics,betweenness,0.8,timeout,3600.2,60.00,,,20,60,GCN,logs_v2/physics_betweenness_p0.800.log,Exceeded 1 hour timeout
2026-05-18T15:45:23.089688,physics,betweenness,0.9,timeout,3600.3,60.00,,,20,60,GCN,logs_v2/physics_betweenness_p0.900.log,Exceeded 1 hour timeout
2026-05-18T16:45:23.261065,physics,betweenness,0.95,timeout,3600.2,60.00,,,20,60,GCN,logs_v2/physics_betweenness_p0.950.log,Exceeded 1 hour timeout
2026-05-18T17:45:23.402929,physics,betweenness,0.975,timeout,3600.1,60.00,,,20,60,GCN,logs_v2/physics_betweenness_p0.975.log,Exceeded 1 hour timeout
2026-05-18T18:45:23.774759,physics,betweenness,1.0,timeout,3600.4,60.01,,,20,60,GCN,logs_v2/physics_betweenness_p1.000.log,Exceeded 1 hour timeout
2026-05-18T18:48:22.697960,physics,pagerank,0.7,success,178.9,2.98,0.9588,0.0016,20,60,GCN,logs_v2/physics_pagerank_p0.700.log,
2026-05-18T18:51:20.670092,physics,pagerank,0.8,success,178.0,2.97,0.9604,0.0014,20,60,GCN,logs_v2/physics_pagerank_p0.800.log,
2026-05-18T18:54:16.940465,physics,pagerank,0.9,success,176.3,2.94,0.9623,0.0009,20,60,GCN,logs_v2/physics_pagerank_p0.900.log,
